,Hotel Name,Address,Rating (5),Price (2)
269,Smelling Salts,"SA Vihar Phase - 2, North Delhi",4.4,1500
270,Laidback Cafe,"CG Kailash - 1, South Delhi",4.3,3000
271,Clay 1 Grill,"GK Nagar, West Delhi",4.1,1600
272,Bokan,"BE of Kailash, South Delhi",4.1,2100
273,Bread and More,"MG Kailash - 1, South Delhi",4.2,1000
274,Godaam by Zaika Bazaar,"BP Complex,Karkardooma, East Delhi",4.0,1300
275,Otik Cake Shop,"SM Town 2, North Delhi",5.0,500
276,The Dessart gallery by Veg Gulati,"GG Park, South Delhi",4.2,500
277,Hashtag Foods,FK East Delhi,4.4,500
278,London Street,"SA Mega Mall,Shahdara, East Delhi",4.1,1400
279,Cafe Bro,"BA Vihar Phase - 2, North Delhi",4.2,1000
280,Pizza Hut,"HS City Mall,Mayur Vihar Phase - 1, East Delhi",4.5,800
281,Dilli 3,"32 Leela Ambience Convention Hotel,Shahdara, East Delhi",4.5,4500
282,Punjabi Joint,"JR Nagar, West Delhi",5.0,900
283,Le Chef,"CC River Mall,Shahdara, East Delhi",4.2,1000
284,Flirty Momo's,"MR Nagar, West Delhi",5.0,500
285,Platinum Lounge,"LS City Mall,Mayur Vihar Phase - 1, East Delhi",4.1,1800
286,Cafe Knosh,"KT Leela Ambience Convention Hotel,Shahdara, East Delhi",4.3,3000
287,Suruchi,"SK Bagh, Central Delhi",4.3,1100
288,G2 Cafe,CK East Delhi,4.2,1600
289,Anupama Sweet,"SK Colony, South Delhi",5.0,800
290,Square Pizzeria,"PA Vihar, East Delhi",5.0,800
291,Big Fat Sandwich,"SH Khas, South Delhi",4.2,1000
292,Storm Reloaded,"RE of Kailash, South Delhi",4.2,1800
293,Saleem's Restaurant,"RK Colony, South Delhi",4.4,800
294,Club Cuba,"CT Leela Ambience Convention Hotel,Shahdara, East Delhi",4.1,3000
295,Saleem's Fine Dine,"DK Colony, South Delhi",4.3,1200
296,Giani,"GM Town 2, North Delhi",4.0,400
297,Fat,"FJ Cafe & MarketKailash Colony, South Delhi",4.2,2200
298,Cafe 2,"27 Colony, South Delhi",4.2,1700
299,Infinity,"IC Plaza,Mayur Vihar Phase - 1, East Delhi",4.2,3600
300,Naivedyam,"NH Khas Village, South Delhi",4.2,600
301,MWB Foody Bells,"BR Nagar, West Delhi",4.3,600
302,Konfidential Lounge & Bar,"BK Colony, South Delhi",4.2,600
303,Auro Kitchen & Bar,"BD Shopping Complex,Hauz Khas, South Delhi",4.2,2200
304,Summer House Cafe,"CD Shopping Complex,Hauz Khas, South Delhi",4.2,2800
305,Barsoom,"BH Khas Village, South Delhi",4.1,1400
306,Wow! Momo,"MH Khas Village, South Delhi",4.1,400
307,HKV Bar Exchange,"EH Khas Village, South Delhi",4.1,1300
308,Golden Fiesta,"FE of Kailash, South Delhi",4.0,1200
309,Cafe on 3,"3H Inn,Mayur Vihar Phase - 1, East Delhi",4.1,3000
310,Deli,"DB Cafe & DelicatessenCommunity Centre - New Friends Colony,New Friends Colony, South Delhi",4.4,1000
311,The Rehab Gastropub,"GH Khas Village, South Delhi",4.1,2500
312,Cosy Restaurant,"RH Khas, South Delhi",4.1,1100
313,Garden House Cafe And Health Kitchen,"KS Jat, South Delhi",4.5,1400
314,Game of Momos,"MR Nagar, West Delhi",4.4,500
315,Hale And Hearty,"HH Khas, South Delhi",4.4,1500
316,Mad Over Donuts,"DG Kailash - 1, South Delhi",4.4,500
317,Barbeque Nation,"NC Centre - New Friends Colony,New Friends Colony, South Delhi",4.2,1800
318,Yaara Da Chaska,"CV Vihar, East Delhi",4.6,900
319,Gastronomica Kitchen & Bar,"BG Kailash - 1, South Delhi",4.3,2200
320,Masala Incorporated,"IS Jat, South Delhi",4.2,900
321,Bakeburry,"BH Khas, South Delhi",4.2,1400
